股票名称, 股票跌幅天数, 股票总涨跌幅,
华联控股_1000036.csv,2,-5.5192,
华联股份_1000882.csv,2,-7.1071,
华能国际_0600011.csv,1,-2.8486,
华自科技_1300490.csv,2,-7.145200000000001,
华英农业_1002321.csv,1,-8.3425,
华荣股份_0603855.csv,5,-8.078,
华菱星马_0600375.csv,2,-7.4366,
华菱精工_0603356.csv,2,-5.5179,
华菱钢铁_1000932.csv,2,-7.2898,
华虹计通_1300330.csv,2,-5.1382,
华西股份_1000936.csv,3,-9.632200000000001,
华西证券_1002926.csv,2,-4.0442,
华讯方舟_1000687.csv,2,-9.497200000000001,
华谊B股_0900909.csv,8,-4.2496,
华谊兄弟_1300027.csv,2,-4.3937,
华谊嘉信_1300071.csv,2,-7.910399999999999,
华谊集团_0600623.csv,4,-10.179099999999998,
